player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Scotty",-4Mt9GCcpf,2021-05-04T04:16:06.187Z,,2000,,4646,2646
"Regan",UPoeIpvEQ4,2021-05-04T03:40:57.318Z,2021-05-04T04:31:34.716Z,2000,0,0,-2000
"Regan",UPoeIpvEQ4,2021-05-04T03:22:44.411Z,2021-05-04T03:36:10.859Z,4000,0,0,-4000
"Kynan",Tfv9gQlCKp,2021-05-04T03:19:37.017Z,2021-05-04T04:09:30.125Z,1000,0,0,-1000
"Regan",UPoeIpvEQ4,2021-05-04T03:05:49.834Z,2021-05-04T03:16:49.075Z,2000,0,0,-2000
"Cheyenne$",pnFzv-_qqL,2021-05-04T02:35:57.784Z,2021-05-04T04:02:28.759Z,1000,0,0,-1000
"Jacob",LragqkH6mQ,2021-05-04T02:03:19.025Z,2021-05-04T04:06:52.190Z,1000,0,0,-1000
"Fish",L5G0fi1P1T,2021-05-04T01:33:37.851Z,,1000,,18577,17577
"Regan",UPoeIpvEQ4,2021-05-04T01:31:30.737Z,2021-05-04T02:56:33.366Z,3000,0,0,-3000
"Kynan",Tfv9gQlCKp,2021-05-04T01:27:38.894Z,2021-05-04T03:16:49.072Z,1000,0,0,-1000
"Bill",EUC1-Ekcwo,2021-05-04T01:14:33.362Z,,1000,,6601,5601
"Regan",UPoeIpvEQ4,2021-05-04T01:10:58.542Z,2021-05-04T01:29:40.042Z,1000,0,0,-1000
"Fish",L5G0fi1P1T,2021-05-04T00:59:24.421Z,2021-05-04T01:31:30.735Z,1000,0,0,-1000
"Marshall",FHfdGMNnXa,2021-05-04T00:53:11.877Z,2021-05-04T04:21:28.929Z,1000,0,0,-1000
"Jacob",LragqkH6mQ,2021-05-04T00:53:11.875Z,2021-05-04T02:01:25.016Z,1000,0,0,-1000
"Kynan",Tfv9gQlCKp,2021-05-04T00:11:44.324Z,2021-05-04T01:25:26.882Z,1000,0,0,-1000
"Bill",EUC1-Ekcwo,2021-05-04T00:11:44.321Z,2021-05-04T01:10:58.539Z,2000,0,0,-2000
"Cedric",UOl9ieuNTH,2021-05-04T00:11:44.318Z,2021-05-04T04:31:34.719Z,3000,2225,0,-775
"Fish",L5G0fi1P1T,2021-05-04T00:11:44.328Z,2021-05-04T00:58:08.224Z,1000,0,0,-1000
"Voyles",mZh56-rfJ5,2021-05-04T00:11:44.326Z,2021-05-04T01:17:29.142Z,1000,951,0,-49
"JoNathan",mZh56-rfJ5,,2021-05-04T00:06:34.202Z,1000,1000,0,0
"Scotty",-4Mt9GCcpf,2021-05-04T00:11:44.296Z,2021-05-04T04:14:01.552Z,2000,0,0,-2000
